"","f1_irr","f2_rel","f3_rel","f4_rel","f5_irr","f6_rel","f7_irr","f8_rel","f9_irr","f10_irr","target"
"513",0,0,1,0,1,0,1,0,0,1,1
"514",1,1,1,1,0,1,0,1,1,0,1
"515",0,0,0,0,1,1,0,1,0,1,0
"516",0,1,1,1,1,0,1,1,0,0,0
"517",0,0,1,1,0,0,0,1,1,1,1
"518",1,0,1,1,1,1,1,1,0,1,0
"519",0,1,0,0,1,1,1,1,1,1,1
"520",1,0,1,1,1,0,1,0,0,0,0
"521",1,0,1,1,1,0,1,1,1,1,1
"522",1,0,1,1,0,0,0,0,0,1,0
"523",0,0,1,1,0,1,1,0,1,1,1
"524",0,1,1,0,1,0,1,0,1,0,0
"525",0,0,0,1,0,1,0,1,1,0,1
"526",0,1,0,1,0,1,1,1,0,1,0
"527",0,0,0,0,0,1,0,0,0,0,1
"528",0,1,0,1,0,1,1,1,0,0,0
"529",0,0,1,1,0,1,1,0,0,1,1
"530",0,1,0,0,0,0,0,0,1,0,1
"531",1,0,0,1,1,0,0,0,1,0,1
"532",1,1,0,0,0,0,0,1,0,1,0
"533",1,1,1,0,1,0,1,1,0,1,1
"534",1,1,0,1,1,0,1,1,0,1,1
"535",1,0,1,1,1,0,0,0,0,1,0
"536",1,0,1,0,0,1,1,1,1,0,1
"537",1,0,0,0,1,1,1,1,0,1,0
"538",1,0,0,0,1,0,1,1,1,0,1
"539",1,1,1,0,0,0,0,0,0,0,0
"540",0,0,1,0,1,1,1,0,1,1,0
"541",1,0,1,0,1,0,1,0,1,0,1
"542",0,0,1,0,1,1,1,1,0,0,1
"543",0,0,0,0,0,1,1,1,1,0,0
"544",0,0,0,0,0,0,1,0,0,0,0
"545",1,0,1,1,1,1,0,0,1,1,1
"546",1,1,1,1,0,1,1,1,1,1,1
"547",0,0,1,0,0,1,1,1,1,0,1
"548",1,1,0,1,1,1,0,0,1,0,1
"549",0,0,0,0,0,1,0,0,1,1,1
"550",0,1,1,0,1,0,0,0,1,0,0
"551",0,1,0,1,1,0,0,0,0,1,0
"552",0,1,1,1,0,0,0,1,0,1,0
"553",0,1,1,0,0,0,0,0,0,0,0
"554",1,0,1,1,1,0,0,0,1,0,0
"555",0,1,1,0,1,0,1,0,0,1,0
"556",1,1,0,1,0,1,1,0,0,1,1
"557",0,1,1,0,1,1,0,0,0,1,1
"558",1,0,1,0,0,0,0,1,0,0,0
"559",1,1,0,1,1,1,1,0,0,0,1
"560",1,0,0,1,1,1,1,1,0,1,1
"561",1,1,0,0,0,0,0,1,1,1,0
"562",1,0,0,0,0,1,0,0,0,1,1
"563",1,0,1,1,0,0,1,1,0,1,1
"564",1,0,0,1,1,1,1,0,0,1,0
"565",1,0,0,0,0,0,1,0,1,0,0
"566",1,1,1,0,1,0,0,1,0,1,1
"567",1,0,1,1,1,1,1,1,1,1,0
"568",0,0,0,1,1,1,0,1,1,0,1
"569",1,1,1,1,1,1,0,1,0,1,1
"570",1,0,0,0,0,1,0,0,1,0,1
"571",1,0,0,0,1,0,0,0,1,0,0
"572",0,1,0,1,0,0,1,1,0,0,1
"573",0,0,1,0,0,0,1,1,0,0,0
"574",1,0,0,0,0,0,1,1,0,0,1
"575",0,0,1,1,1,0,0,1,1,1,1
"576",1,1,0,0,0,1,0,1,1,1,1
"577",0,1,1,1,1,1,0,0,0,0,0
"578",1,0,1,1,0,1,0,1,0,1,0
"579",1,0,1,1,0,1,0,0,1,0,1
"580",0,0,1,1,0,0,1,1,0,1,1
"581",0,1,0,0,0,0,1,0,0,0,1
"582",0,0,1,0,0,1,1,0,0,0,0
"583",0,1,0,1,0,0,1,0,1,1,0
"584",0,0,1,1,1,1,0,1,0,0,0
"585",0,1,0,0,1,1,0,0,1,1,0
"586",0,1,0,0,0,0,1,0,1,1,1
"587",0,1,1,1,0,0,1,0,1,1,1
"588",0,0,1,1,0,0,0,0,1,0,0
"589",0,0,1,1,0,1,0,1,0,0,0
"590",0,0,1,1,1,1,0,1,0,1,0
"591",1,0,0,1,0,1,1,0,1,1,0
"592",0,0,0,0,0,1,0,1,0,0,0
"593",0,0,0,0,0,1,1,0,1,1,1
"594",0,1,1,0,1,1,1,0,0,0,1
"595",0,1,1,1,0,1,0,0,0,0,0
"596",1,0,1,0,0,1,0,1,1,0,1
"597",1,1,0,1,0,1,0,0,0,1,1
"598",1,1,0,0,1,0,1,0,1,0,1
"599",1,1,1,1,1,0,0,0,0,1,1
"600",0,0,1,0,0,1,0,0,0,0,0
"601",0,1,0,0,1,0,1,0,1,1,1
"602",0,1,1,1,1,0,1,0,0,1,1
"603",1,0,0,0,1,0,0,1,0,0,1
"604",0,1,1,1,0,1,0,1,0,1,1
"605",0,0,0,1,1,1,1,1,1,1,1
"606",0,1,1,1,1,1,0,1,0,1,1
"607",1,0,1,1,0,1,0,0,1,1,1
"608",1,0,1,0,1,0,0,0,1,1,1
"609",0,0,1,1,1,0,1,0,1,1,0
"610",0,1,1,1,0,0,0,1,1,0,0
"611",1,0,0,1,0,1,1,1,1,1,1
"612",0,0,0,1,1,0,1,1,0,1,0
"613",1,0,1,1,0,1,1,0,0,1,1
"614",1,0,1,1,1,1,1,1,1,0,0
"615",0,1,1,1,0,0,0,0,0,1,1
"616",1,1,0,0,1,1,1,0,0,0,0
"617",1,0,0,1,1,0,1,0,0,1,1
"618",1,0,0,0,0,1,1,0,0,1,1
"619",1,1,0,0,1,1,0,1,0,1,1
"620",1,0,1,0,1,0,0,1,0,1,0
"621",0,0,0,1,0,0,0,1,1,1,0
"622",1,0,0,1,0,0,1,1,0,0,0
"623",0,0,0,1,1,0,0,0,1,1,1
"624",1,1,1,0,1,1,0,1,0,1,0
"625",0,1,1,1,1,1,0,1,1,1,1
"626",0,0,0,1,0,0,0,0,0,1,1
"627",0,0,1,0,1,0,0,0,1,0,1
"628",1,0,0,0,1,0,0,0,1,1,0
"629",1,0,0,0,0,1,0,1,0,0,0
"630",1,1,1,0,0,0,0,1,0,1,1
"631",0,1,1,1,0,0,0,0,1,1,1
"632",1,0,0,1,1,0,0,1,1,0,0
"633",1,1,0,0,1,0,0,0,1,1,1
"634",0,1,1,0,0,0,1,1,0,1,1
"635",1,1,1,0,1,0,1,0,0,1,0
"636",0,0,1,1,0,1,1,1,1,1,0
"637",0,1,1,0,0,1,1,0,0,0,1
"638",1,0,0,0,0,0,1,0,0,1,0
"639",0,1,1,1,0,0,0,1,1,1,0
"640",0,1,1,0,0,1,1,1,1,1,0
"641",0,0,0,1,0,0,0,0,0,0,1
"642",0,0,1,1,0,1,0,0,0,0,1
"643",1,1,0,0,1,1,0,1,1,1,1
"644",0,0,0,0,1,0,1,0,0,1,0
"645",1,1,1,0,0,0,0,1,0,0,1
"646",0,0,1,0,1,1,0,1,0,1,1
"647",0,0,1,0,0,0,1,1,1,0,0
"648",1,0,1,1,0,0,1,0,0,0,0
"649",1,0,0,1,1,1,0,0,1,1,0
"650",0,0,0,0,1,0,0,1,0,0,1
"651",1,1,1,1,0,1,1,1,0,1,1
"652",0,1,1,0,1,1,0,0,0,0,1
"653",1,1,1,0,0,0,1,0,1,0,0
"654",1,0,1,0,0,1,0,0,1,0,0
"655",0,1,1,0,0,1,0,1,1,0,0
"656",1,1,0,1,0,0,0,1,1,0,1
"657",0,1,0,1,0,1,1,1,1,1,0
"658",0,0,1,1,0,1,0,1,1,1,0
"659",0,1,0,1,1,1,0,0,0,0,1
"660",0,1,1,0,1,0,1,1,0,0,1
"661",1,0,0,0,1,1,0,1,1,0,0
"662",0,0,0,0,0,1,1,0,0,0,1
"663",1,1,1,1,1,0,0,1,1,0,0
"664",1,1,0,1,0,0,0,1,0,0,1
"665",0,0,1,0,1,1,0,0,0,0,0
"666",1,0,0,0,1,1,0,0,1,1,1
"667",0,1,0,0,0,0,1,1,0,1,0
"668",1,1,0,1,0,1,0,0,1,0,1
"669",1,1,1,0,1,1,1,0,0,0,1
"670",0,0,1,0,1,1,1,0,0,1,0
"671",0,0,0,0,0,1,1,1,1,1,0
"672",1,1,1,1,0,0,0,1,0,1,0
"673",0,1,1,1,1,1,1,0,0,0,0
"674",0,0,0,1,0,1,0,1,0,1,1
"675",0,1,1,0,0,1,0,1,0,0,0
"676",1,1,0,1,1,1,1,1,0,0,0
"677",0,0,0,0,1,1,0,0,0,1,1
"678",1,1,0,0,1,0,0,0,0,1,1
"679",1,1,0,0,1,0,1,0,0,0,1
"680",1,1,0,1,0,1,0,1,1,1,0
"681",1,0,0,1,1,0,1,1,1,0,0
"682",0,1,1,0,0,1,1,1,0,1,0
"683",1,0,0,0,1,1,0,0,0,0,1
"684",1,0,0,1,1,0,1,0,0,0,1
"685",1,0,0,1,1,1,1,1,1,1,1
"686",0,0,1,0,1,1,0,0,1,1,0
"687",1,1,0,0,0,0,0,1,1,0,0
"688",0,1,0,0,0,1,1,0,1,0,0
"689",0,1,0,0,1,0,1,0,0,1,1
"690",1,0,0,0,0,1,1,0,1,1,1
"691",0,1,0,1,0,0,1,0,0,1,0
"692",0,1,0,1,0,0,1,0,1,0,0
"693",1,0,1,0,0,0,1,0,1,0,1
"694",1,0,1,1,1,0,1,0,1,1,0
"695",0,1,0,0,1,1,1,0,1,1,0
"696",0,0,1,1,0,0,1,0,1,1,0
"697",1,0,0,0,1,0,0,1,0,1,1
"698",0,0,1,1,0,1,1,0,0,0,1
"699",1,0,0,1,0,0,1,1,1,0,0
"700",0,1,1,1,0,1,1,1,1,1,1
"701",1,0,0,1,0,1,0,0,1,1,0
"702",1,1,0,0,1,0,0,1,0,1,0
"703",1,0,0,1,0,1,0,0,0,1,0
"704",0,1,0,0,1,1,1,1,1,0,1
"705",0,0,0,1,0,0,1,0,1,1,1
"706",0,1,0,1,1,1,0,1,1,0,0
"707",1,0,0,1,0,0,1,0,1,0,1
"708",0,1,1,1,0,0,0,0,0,0,1
"709",0,1,0,0,1,1,1,0,1,0,0
"710",1,0,0,1,1,1,1,0,1,1,0
"711",0,1,1,0,0,1,0,0,0,1,1
"712",1,1,0,0,1,1,0,0,1,1,0
"713",0,0,1,0,1,1,1,1,1,1,1
"714",1,1,0,1,1,1,0,0,1,1,1
"715",1,1,0,0,0,0,0,0,0,1,1
"716",0,1,0,1,1,1,0,0,1,0,1
"717",0,0,1,1,0,1,1,1,0,1,0
"718",1,0,1,0,1,1,1,0,0,0,0
"719",1,1,1,0,0,1,0,0,0,0,1
"720",0,1,0,1,1,0,1,0,1,1,0
"721",0,1,1,1,1,1,0,0,1,1,0
"722",0,1,1,0,0,0,1,1,0,0,1
"723",1,1,0,0,1,1,0,0,0,1,0
"724",1,0,0,0,1,0,1,1,1,1,1
"725",0,1,1,1,1,1,1,1,0,1,1
"726",0,0,0,1,0,1,1,1,0,0,1
"727",0,0,1,1,1,1,0,0,0,0,1
"728",1,1,1,0,0,0,0,1,1,1,1
"729",0,1,0,1,0,0,0,0,1,1,0
"730",1,0,1,1,0,0,1,1,1,1,1
"731",0,1,0,0,0,0,0,1,0,1,0
"732",0,0,0,1,1,1,1,0,0,1,0
"733",0,0,1,0,0,1,0,0,0,1,0
"734",1,0,1,1,0,1,0,1,1,1,0
"735",0,1,1,1,1,0,1,0,1,1,1
"736",0,0,1,0,0,1,0,1,0,0,1
"737",1,0,1,0,0,0,1,1,1,0,0
"738",1,0,0,0,1,1,1,0,0,1,1
"739",0,1,0,0,0,1,0,0,1,0,0
"740",0,1,0,1,0,0,0,1,0,1,1
"741",1,0,1,1,0,0,0,1,1,0,1
"742",1,0,0,0,1,1,0,1,0,0,0
"743",0,0,1,1,1,1,1,1,1,1,0
"744",0,0,0,1,1,0,0,1,0,0,0
"745",0,1,1,1,0,0,1,1,1,0,0
"746",1,0,1,0,0,1,0,1,0,0,1
"747",1,1,0,1,1,1,1,0,0,1,1
"748",0,0,0,0,0,0,0,0,1,0,0
"749",1,1,1,1,0,1,0,0,0,1,0
"750",1,1,0,0,0,1,0,1,0,1,1
"751",1,0,0,0,0,0,0,0,1,1,0
"752",0,1,1,0,1,1,1,1,1,0,0
"753",1,0,0,1,1,1,0,1,0,0,1
"754",1,1,1,1,0,1,0,0,1,1,0
"755",0,0,0,1,0,1,0,0,0,0,0
"756",0,1,0,0,1,0,0,1,0,0,0
"757",0,1,1,1,0,1,0,0,0,1,0
"758",1,0,0,0,0,1,1,1,0,1,0
"759",1,1,0,1,1,1,0,1,0,1,0
"760",0,1,1,0,0,0,0,1,0,0,1
"761",0,1,1,1,0,1,0,0,1,1,0
"762",0,1,0,1,1,1,1,0,1,0,1
"763",0,0,0,1,0,1,1,0,0,0,0
"764",1,1,1,1,1,1,0,0,1,1,0
"765",0,1,0,1,1,0,0,0,1,0,0
"766",0,0,1,1,1,0,0,0,1,1,0
"767",0,0,0,1,0,1,0,1,1,1,1
"768",0,1,0,0,0,0,1,1,1,0,0
"769",1,0,0,0,0,0,1,1,0,1,1
"770",1,0,1,0,0,1,1,0,1,1,0
"771",0,1,0,1,0,1,0,0,1,0,1
"772",1,0,1,1,0,1,1,0,1,0,1
"773",1,1,0,1,0,0,0,0,1,0,0
"774",1,1,1,1,1,0,1,0,0,1,1
"775",1,0,0,0,0,0,0,0,0,1,0
"776",1,0,0,1,1,0,0,0,0,1,1
"777",0,0,1,1,1,0,1,0,0,1,0
"778",1,1,1,1,1,1,1,0,0,0,0
"779",1,0,1,0,1,1,1,0,1,0,0
"780",1,0,1,0,1,1,1,1,1,0,1
"781",0,1,1,1,1,1,1,0,0,1,0
"782",1,1,1,0,1,1,1,1,0,0,0
"783",1,1,0,1,0,1,1,0,0,0,1
"784",0,1,0,1,1,0,0,1,0,1,1
"785",1,0,1,1,0,1,0,0,0,0,1
"786",0,0,1,0,1,0,0,1,0,0,0
"787",0,1,1,1,1,1,1,1,1,0,1
"788",1,1,0,1,1,1,0,1,0,0,0
"789",1,1,1,1,0,0,0,1,1,1,0
"790",0,0,1,0,1,0,1,1,0,1,0
"791",0,0,0,1,0,1,0,0,0,1,0
"792",0,0,0,1,1,1,1,1,0,1,1
"793",0,1,0,1,1,1,1,0,0,0,1
"794",0,0,0,0,0,0,1,0,0,1,0
"795",0,1,1,1,0,1,0,1,0,0,1
"796",1,1,0,0,1,0,1,1,1,1,0
"797",1,0,0,0,0,0,1,1,1,1,1
"798",1,0,1,1,0,1,1,1,1,0,0
"799",1,1,0,1,1,0,0,1,1,1,1
"800",1,1,1,0,0,0,1,1,0,0,1
"801",1,0,1,1,0,1,0,0,0,1,1
"802",0,0,0,0,1,0,0,1,1,0,1
"803",0,1,1,0,1,0,1,0,1,1,0
"804",0,1,0,0,1,0,1,1,0,1,0
"805",0,1,0,0,0,0,0,0,1,1,1
"806",0,1,0,1,1,0,0,1,1,0,1
"807",0,1,1,0,0,0,1,0,1,1,0
"808",0,0,0,1,1,1,0,0,1,0,0
"809",1,0,1,0,1,0,0,0,1,0,1
"810",1,1,0,1,0,1,0,0,0,0,1
"811",0,0,1,0,1,1,1,1,0,1,1
"812",1,0,1,0,0,1,0,1,1,1,1
"813",0,1,0,0,0,0,0,1,1,0,0
"814",1,1,1,1,0,1,0,0,0,0,0
"815",1,0,0,0,0,1,1,0,1,0,1
"816",0,0,1,0,0,1,1,0,0,1,0
"817",0,1,0,0,0,0,0,1,0,0,0
"818",1,1,0,1,1,0,0,0,0,0,0
"819",0,0,1,1,0,0,1,0,1,0,0
"820",1,0,1,1,1,1,1,0,0,0,1
"821",1,1,1,0,0,1,0,1,1,1,0
"822",0,0,0,0,1,1,1,0,1,1,1
"823",0,0,1,1,0,1,0,1,0,1,0
"824",1,0,0,1,1,0,0,1,1,1,0
"825",0,1,1,0,1,0,0,1,1,1,1
"826",0,1,1,0,1,1,0,1,1,0,0
"827",1,1,0,0,0,1,1,0,1,1,0
"828",0,1,0,0,1,1,0,1,1,0,1
"829",1,1,1,0,1,0,1,0,0,0,0
"830",1,1,1,1,1,1,1,1,1,1,1
"831",1,1,1,1,1,0,1,1,0,0,0
"832",1,0,1,0,1,1,0,1,1,0,1
"833",0,0,0,0,1,1,0,1,0,0,0
"834",1,1,1,1,1,0,1,0,0,0,1
"835",1,1,1,0,0,0,0,0,0,1,0
"836",1,0,0,1,1,1,0,1,1,0,1
"837",1,1,0,1,1,0,1,0,0,0,0
"838",1,1,0,0,0,0,1,1,1,1,0
"839",0,0,0,0,1,0,1,1,1,0,1
"840",1,1,0,0,1,1,1,0,0,1,0
"841",1,1,0,0,1,0,1,0,1,1,1
"842",1,0,0,1,0,1,0,1,0,1,1
"843",1,0,0,1,0,0,1,0,0,1,1
"844",1,0,1,0,1,0,1,1,0,1,0
"845",0,1,0,0,0,1,0,1,1,0,1
"846",0,0,1,0,1,1,1,0,0,0,0
"847",0,1,1,1,0,1,0,0,1,0,0
"848",0,0,1,1,0,1,1,1,0,0,0
"849",0,0,1,0,0,0,0,0,0,1,1
"850",0,0,0,1,1,1,1,0,1,1,0
"851",0,1,0,1,0,1,1,0,1,0,1
"852",0,0,0,0,0,1,1,0,1,0,1
"853",0,0,0,1,1,1,0,1,0,0,1
"854",1,0,0,1,0,0,0,1,1,0,0
"855",0,0,1,1,1,1,1,0,1,1,1
"856",1,0,0,0,1,1,1,1,0,0,0
"857",0,1,1,1,0,1,1,0,0,1,0
"858",1,1,0,0,0,1,1,1,1,0,1
"859",0,1,1,0,0,0,1,1,1,1,1
"860",1,0,0,1,1,1,1,0,1,0,0
"861",1,1,1,0,0,0,0,0,1,0,0
"862",0,0,1,0,0,0,0,1,1,1,0
"863",0,1,1,1,1,0,1,1,1,1,0
"864",1,0,0,0,0,1,1,0,0,0,1
"865",1,1,1,0,0,0,1,0,0,0,0
"866",0,0,0,0,1,1,0,0,0,0,1
"867",0,1,1,0,0,0,1,0,0,0,0
"868",0,0,1,0,1,0,1,0,1,1,1
"869",0,0,0,0,1,0,1,1,0,0,1
"870",0,0,0,0,0,1,1,1,0,0,0
"871",1,0,1,1,1,1,1,0,1,0,1
"872",1,1,0,1,1,1,0,1,1,0,0
"873",1,1,1,1,1,0,0,1,0,0,0
"874",1,0,1,0,0,1,1,1,1,1,1
"875",0,1,0,1,1,0,0,1,1,1,1
"876",1,0,0,0,1,1,0,1,0,1,0
"877",1,0,1,1,0,1,1,1,0,0,0
"878",1,0,0,1,1,0,0,1,0,0,0
"879",1,1,0,1,0,1,1,0,1,0,1
"880",1,0,0,1,1,1,0,0,1,0,0
"881",1,1,0,1,0,1,0,1,0,0,0
"882",0,1,1,0,1,0,1,0,0,0,0
"883",0,1,0,1,0,1,1,0,0,0,1
"884",1,1,0,0,0,1,0,0,0,0,0
"885",1,1,0,0,0,0,1,1,0,1,0
"886",1,1,1,1,0,1,1,0,1,0,0
"887",0,0,0,0,1,0,0,0,1,1,0
"888",0,0,0,0,0,0,1,1,1,0,1
"889",1,1,1,0,1,1,1,0,1,1,1
"890",0,0,1,0,0,0,1,1,0,1,0
"891",1,0,0,1,0,1,1,0,1,0,0
"892",1,0,0,1,0,1,0,1,0,0,1
"893",0,1,1,1,0,1,1,1,0,1,1
"894",1,0,0,0,0,1,0,0,1,1,1
"895",1,0,1,1,0,0,0,0,1,1,0
"896",1,0,1,1,1,0,1,1,0,0,1
"897",0,1,0,1,1,1,1,0,0,1,1
"898",0,0,0,1,0,0,1,1,1,0,0
"899",1,1,1,0,1,0,1,0,1,1,0
"900",1,0,0,1,1,0,0,1,0,1,0
"901",0,0,1,1,1,0,0,0,1,0,0
"902",0,0,0,0,0,0,1,0,1,1,0
"903",0,0,1,0,0,0,1,0,0,0,1
"904",1,0,1,0,1,1,0,1,1,1,1
"905",1,1,1,0,1,0,0,0,1,1,0
"906",0,1,1,0,1,1,0,1,0,0,0
"907",0,0,0,1,1,0,1,0,1,0,1
"908",1,1,0,1,1,1,1,1,1,0,0
"909",1,1,1,1,0,0,1,1,0,0,0
"910",0,0,0,1,1,0,0,1,1,0,0
"911",1,1,0,1,1,0,1,1,1,0,1
"912",0,0,1,1,1,0,1,1,1,1,1
"913",0,1,0,1,1,1,1,1,1,1,0
"914",0,0,1,0,0,0,0,1,0,0,0
"915",0,1,0,0,0,0,0,0,0,0,1
"916",1,1,0,0,0,1,0,1,1,0,1
"917",0,1,1,0,0,1,1,1,1,0,0
"918",1,1,0,0,0,1,1,1,0,1,1
"919",1,0,1,1,1,0,0,1,0,0,1
"920",1,0,0,1,0,1,0,1,1,0,1
"921",1,0,0,1,0,1,1,0,0,1,0
"922",1,0,1,0,1,1,1,1,0,0,1
"923",1,1,1,0,1,1,0,0,1,1,1
"924",0,0,0,0,0,0,0,1,1,0,1
"925",1,1,0,1,0,1,0,0,1,1,1
"926",1,0,1,0,0,0,0,0,1,0,1
"927",0,1,0,0,0,1,1,0,0,1,0
"928",0,0,1,1,0,0,0,0,0,0,0
"929",1,0,0,1,0,0,1,1,0,1,0
"930",1,1,0,0,0,1,1,1,1,1,1
"931",1,0,1,1,0,0,1,0,1,0,0
"932",0,0,1,1,1,0,1,0,1,0,0
"933",1,0,1,1,1,0,0,1,1,0,1
"934",1,1,1,1,1,1,0,0,1,0,0
"935",1,0,0,0,0,1,0,1,1,0,0
"936",1,0,0,0,1,1,0,0,0,1,1
"937",0,0,0,1,0,0,0,0,1,1,1
"938",0,0,1,0,0,1,0,1,1,0,1
"939",1,0,0,0,0,0,0,1,1,0,1
"940",1,0,1,0,0,1,0,1,0,1,1
"941",1,0,1,0,0,1,1,0,0,1,0
"942",1,0,1,0,0,0,1,1,1,1,0
"943",1,1,1,0,1,0,0,0,0,1,0
"944",0,1,0,0,1,1,1,1,0,1,1
"945",0,0,1,1,1,1,0,1,1,1,0
"946",0,1,1,0,0,1,1,0,1,0,1
"947",0,1,1,1,0,0,1,0,0,1,1
"948",0,1,1,0,0,1,0,0,1,0,1
"949",0,1,1,0,0,0,1,0,1,0,0
"950",1,1,1,0,0,1,0,0,1,0,1
"951",0,1,0,1,0,0,1,1,1,0,1
"952",1,0,1,0,1,0,1,1,1,1,0
"953",1,1,1,0,1,1,1,0,1,0,1
"954",0,0,0,1,0,0,1,1,1,1,0
"955",1,1,1,1,1,0,0,0,1,0,1
"956",1,1,0,0,1,0,1,1,0,0,0
"957",0,0,1,1,1,1,1,1,1,0,0
"958",1,0,0,1,0,0,0,1,0,1,0
"959",0,0,0,0,0,1,1,0,0,1,1
"960",0,0,0,1,1,0,0,0,0,0,1
"961",1,0,1,1,0,0,0,1,0,1,1
"962",1,0,0,0,1,0,1,0,1,1,0
"963",0,0,0,0,1,0,0,0,1,0,0
"964",0,0,0,1,0,1,1,0,0,1,0
"965",1,1,1,1,0,1,1,1,1,0,1
"966",1,0,0,0,0,0,0,1,1,1,1
"967",1,1,1,0,1,0,0,1,1,1,1
"968",1,0,0,1,0,0,1,0,0,0,1
"969",0,0,0,0,1,1,1,0,1,0,1
"970",0,1,1,1,0,0,1,1,1,1,0
"971",0,0,1,0,1,1,0,0,0,1,0
"972",0,1,0,0,0,1,0,0,1,1,0
"973",0,0,0,1,0,0,1,0,0,1,1
"974",1,1,0,0,1,1,0,0,1,0,0
"975",0,0,1,1,0,0,0,0,1,1,0
"976",0,0,1,1,1,0,0,1,0,1,1
"977",0,1,0,1,1,0,1,0,0,1,0
"978",1,1,1,1,0,1,0,1,0,1,1
"979",0,1,1,1,1,0,0,0,1,1,1
"980",0,1,1,0,0,0,1,1,1,0,1
"981",0,0,1,0,1,1,1,0,1,0,0
"982",0,0,1,0,1,0,1,0,1,0,1
"983",1,0,1,1,1,1,0,1,0,0,0
"984",1,1,1,1,1,0,1,0,1,0,1
"985",1,1,0,0,0,0,0,0,1,1,1
"986",1,1,1,0,0,1,1,0,1,1,1
"987",1,0,0,1,0,0,1,1,1,1,0
"988",0,0,0,1,0,0,0,1,1,0,0
"989",0,1,0,1,1,1,1,1,0,1,0
"990",1,0,0,0,1,0,1,0,0,1,0
"991",1,1,0,0,1,1,0,1,1,0,1
"992",1,0,1,0,1,1,1,0,0,1,0
"993",0,1,1,0,0,0,0,0,1,1,0
"994",1,0,1,1,0,1,0,1,1,0,0
"995",1,0,0,0,1,0,1,1,0,0,1
"996",1,1,1,0,1,1,0,0,1,0,1
"997",0,1,0,1,1,0,0,0,1,1,0
"998",0,1,0,0,1,1,1,0,0,0,0
"999",0,1,0,0,1,0,0,1,0,1,0
"1000",0,0,0,1,0,1,1,1,1,0,1
"1001",1,0,0,1,1,1,0,1,0,1,1
"1002",0,0,0,0,1,0,1,0,1,1,0
"1003",0,1,1,0,1,0,1,1,1,0,1
"1004",0,1,1,1,1,0,0,1,0,1,0
"1005",0,1,1,1,0,1,0,1,1,0,1
"1006",0,0,0,1,1,1,1,1,0,0,1
"1007",0,1,1,0,1,0,1,1,1,1,1
"1008",0,0,1,0,1,0,1,0,0,0,1
"1009",1,1,1,1,1,1,0,1,0,0,1
"1010",0,1,0,0,0,1,1,1,1,1,1
"1011",0,1,0,0,1,1,0,1,0,0,1
"1012",1,0,0,1,0,1,1,0,0,0,0
"1013",0,1,0,1,1,1,1,1,0,0,0
"1014",1,1,1,0,0,0,1,0,0,1,0
"1015",0,1,1,1,0,1,1,0,0,0,0
"1016",1,1,1,1,1,0,0,1,0,1,0
"1017",0,1,1,1,1,1,0,0,0,1,0
"1018",1,1,1,0,1,0,0,0,0,0,0
"1019",0,0,0,0,1,0,1,0,1,0,0
"1020",0,0,1,0,1,1,0,1,1,0,1
"1021",0,1,0,0,1,0,0,0,1,1,1
"1022",0,1,0,0,1,1,0,0,1,0,0
"1023",1,1,0,0,1,1,1,0,1,0,0
"1024",0,1,0,0,1,0,1,1,1,0,0
