"","f1_irr","f2_rel","f3_irr","f4_rel","f5_rel","f6_irr","target"
"1",1,1,1,1,1,1,1
"2",1,1,1,1,1,1,2
"3",1,1,1,1,1,2,1
"4",1,1,1,1,1,2,2
"5",1,1,1,1,1,3,1
"6",1,1,1,1,1,3,2
"7",0,1,1,1,1,4,1
"8",0,1,1,1,1,4,2
"9",1,1,1,1,2,1,1
"10",1,1,1,1,2,1,2
"11",1,1,1,1,2,2,1
"12",1,1,1,1,2,2,2
"13",1,1,1,1,2,3,1
"14",1,1,1,1,2,3,2
"15",0,1,1,1,2,4,1
"16",0,1,1,1,2,4,2
"17",1,1,1,1,3,1,1
"18",1,1,1,1,3,1,2
"19",1,1,1,1,3,2,1
"20",1,1,1,1,3,2,2
"21",1,1,1,1,3,3,1
"22",1,1,1,1,3,3,2
"23",0,1,1,1,3,4,1
"24",0,1,1,1,3,4,2
"25",1,1,1,2,1,1,1
"26",1,1,1,2,1,1,2
"27",1,1,1,2,1,2,1
"28",1,1,1,2,1,2,2
"29",1,1,1,2,1,3,1
"30",1,1,1,2,1,3,2
"31",0,1,1,2,1,4,1
"32",0,1,1,2,1,4,2
"33",1,1,1,2,2,1,1
"34",1,1,1,2,2,1,2
"35",1,1,1,2,2,2,1
"36",1,1,1,2,2,2,2
"37",1,1,1,2,2,3,1
"38",1,1,1,2,2,3,2
"39",0,1,1,2,2,4,1
"40",0,1,1,2,2,4,2
"41",1,1,1,2,3,1,1
"42",1,1,1,2,3,1,2
"43",1,1,1,2,3,2,1
"44",1,1,1,2,3,2,2
"45",1,1,1,2,3,3,1
"46",1,1,1,2,3,3,2
"47",0,1,1,2,3,4,1
"48",0,1,1,2,3,4,2
"49",1,1,2,1,1,1,1
"50",1,1,2,1,1,1,2
"51",1,1,2,1,1,2,1
"52",1,1,2,1,1,2,2
"53",1,1,2,1,1,3,1
"54",1,1,2,1,1,3,2
"55",0,1,2,1,1,4,1
"56",0,1,2,1,1,4,2
"57",1,1,2,1,2,1,1
"58",1,1,2,1,2,1,2
"59",1,1,2,1,2,2,1
"60",1,1,2,1,2,2,2
"61",1,1,2,1,2,3,1
"62",1,1,2,1,2,3,2
"63",0,1,2,1,2,4,1
"64",0,1,2,1,2,4,2
"65",1,1,2,1,3,1,1
"66",1,1,2,1,3,1,2
"67",1,1,2,1,3,2,1
"68",1,1,2,1,3,2,2
"69",1,1,2,1,3,3,1
"70",1,1,2,1,3,3,2
"71",0,1,2,1,3,4,1
"72",0,1,2,1,3,4,2
"73",1,1,2,2,1,1,1
"74",1,1,2,2,1,1,2
"75",1,1,2,2,1,2,1
"76",1,1,2,2,1,2,2
"77",1,1,2,2,1,3,1
"78",1,1,2,2,1,3,2
"79",0,1,2,2,1,4,1
"80",0,1,2,2,1,4,2
"81",1,1,2,2,2,1,1
"82",1,1,2,2,2,1,2
"83",1,1,2,2,2,2,1
"84",1,1,2,2,2,2,2
"85",1,1,2,2,2,3,1
"86",1,1,2,2,2,3,2
"87",0,1,2,2,2,4,1
"88",0,1,2,2,2,4,2
"89",1,1,2,2,3,1,1
"90",1,1,2,2,3,1,2
"91",1,1,2,2,3,2,1
"92",1,1,2,2,3,2,2
"93",1,1,2,2,3,3,1
"94",1,1,2,2,3,3,2
"95",0,1,2,2,3,4,1
"96",0,1,2,2,3,4,2
"97",0,1,3,1,1,1,1
"98",0,1,3,1,1,1,2
"99",0,1,3,1,1,2,1
"100",0,1,3,1,1,2,2
"101",1,1,3,1,1,3,1
"102",1,1,3,1,1,3,2
"103",0,1,3,1,1,4,1
"104",0,1,3,1,1,4,2
"105",0,1,3,1,2,1,1
"106",0,1,3,1,2,1,2
"107",0,1,3,1,2,2,1
"108",0,1,3,1,2,2,2
"109",0,1,3,1,2,3,1
"110",0,1,3,1,2,3,2
"111",0,1,3,1,2,4,1
"112",0,1,3,1,2,4,2
"113",0,1,3,1,3,1,1
"114",0,1,3,1,3,1,2
"115",0,1,3,1,3,2,1
"116",0,1,3,1,3,2,2
"117",0,1,3,1,3,3,1
"118",0,1,3,1,3,3,2
"119",0,1,3,1,3,4,1
"120",0,1,3,1,3,4,2
"121",0,1,3,2,1,1,1
"122",0,1,3,2,1,1,2
"123",0,1,3,2,1,2,1
"124",0,1,3,2,1,2,2
"125",1,1,3,2,1,3,1
"126",1,1,3,2,1,3,2
"127",0,1,3,2,1,4,1
"128",0,1,3,2,1,4,2
"129",0,1,3,2,2,1,1
"130",0,1,3,2,2,1,2
"131",0,1,3,2,2,2,1
"132",0,1,3,2,2,2,2
"133",0,1,3,2,2,3,1
"134",0,1,3,2,2,3,2
"135",0,1,3,2,2,4,1
"136",0,1,3,2,2,4,2
"137",0,1,3,2,3,1,1
"138",0,1,3,2,3,1,2
"139",0,1,3,2,3,2,1
"140",0,1,3,2,3,2,2
"141",0,1,3,2,3,3,1
"142",0,1,3,2,3,3,2
"143",0,1,3,2,3,4,1
"144",0,1,3,2,3,4,2
"145",1,2,1,1,1,1,1
"146",1,2,1,1,1,1,2
"147",1,2,1,1,1,2,1
"148",1,2,1,1,1,2,2
"149",1,2,1,1,1,3,1
"150",1,2,1,1,1,3,2
"151",0,2,1,1,1,4,1
"152",0,2,1,1,1,4,2
"153",1,2,1,1,2,1,1
"154",1,2,1,1,2,1,2
"155",1,2,1,1,2,2,1
"156",1,2,1,1,2,2,2
"157",1,2,1,1,2,3,1
"158",1,2,1,1,2,3,2
"159",0,2,1,1,2,4,1
"160",0,2,1,1,2,4,2
"161",1,2,1,1,3,1,1
"162",1,2,1,1,3,1,2
"163",1,2,1,1,3,2,1
"164",1,2,1,1,3,2,2
"165",1,2,1,1,3,3,1
"166",1,2,1,1,3,3,2
"167",0,2,1,1,3,4,1
"168",0,2,1,1,3,4,2
"169",1,2,1,2,1,1,1
"170",1,2,1,2,1,1,2
"171",1,2,1,2,1,2,1
"172",1,2,1,2,1,2,2
"173",1,2,1,2,1,3,1
"174",1,2,1,2,1,3,2
"175",0,2,1,2,1,4,1
"176",0,2,1,2,1,4,2
"177",1,2,1,2,2,1,1
"178",1,2,1,2,2,1,2
"179",1,2,1,2,2,2,1
"180",1,2,1,2,2,2,2
"181",1,2,1,2,2,3,1
"182",1,2,1,2,2,3,2
"183",0,2,1,2,2,4,1
"184",0,2,1,2,2,4,2
"185",1,2,1,2,3,1,1
"186",1,2,1,2,3,1,2
"187",1,2,1,2,3,2,1
"188",1,2,1,2,3,2,2
"189",1,2,1,2,3,3,1
"190",1,2,1,2,3,3,2
"191",0,2,1,2,3,4,1
"192",0,2,1,2,3,4,2
"193",1,2,2,1,1,1,1
"194",1,2,2,1,1,1,2
"195",1,2,2,1,1,2,1
"196",1,2,2,1,1,2,2
"197",1,2,2,1,1,3,1
"198",1,2,2,1,1,3,2
"199",0,2,2,1,1,4,1
"200",0,2,2,1,1,4,2
"201",1,2,2,1,2,1,1
"202",1,2,2,1,2,1,2
"203",1,2,2,1,2,2,1
"204",1,2,2,1,2,2,2
"205",1,2,2,1,2,3,1
"206",1,2,2,1,2,3,2
"207",0,2,2,1,2,4,1
"208",0,2,2,1,2,4,2
"209",1,2,2,1,3,1,1
"210",1,2,2,1,3,1,2
"211",1,2,2,1,3,2,1
"212",1,2,2,1,3,2,2
"213",1,2,2,1,3,3,1
"214",1,2,2,1,3,3,2
"215",0,2,2,1,3,4,1
"216",0,2,2,1,3,4,2
"217",1,2,2,2,1,1,1
"218",1,2,2,2,1,1,2
"219",1,2,2,2,1,2,1
"220",1,2,2,2,1,2,2
"221",1,2,2,2,1,3,1
"222",1,2,2,2,1,3,2
"223",0,2,2,2,1,4,1
"224",0,2,2,2,1,4,2
"225",1,2,2,2,2,1,1
"226",1,2,2,2,2,1,2
"227",1,2,2,2,2,2,1
"228",1,2,2,2,2,2,2
"229",1,2,2,2,2,3,1
"230",1,2,2,2,2,3,2
"231",0,2,2,2,2,4,1
"232",0,2,2,2,2,4,2
"233",1,2,2,2,3,1,1
"234",1,2,2,2,3,1,2
"235",1,2,2,2,3,2,1
"236",1,2,2,2,3,2,2
"237",1,2,2,2,3,3,1
"238",1,2,2,2,3,3,2
"239",0,2,2,2,3,4,1
"240",0,2,2,2,3,4,2
"241",0,2,3,1,1,1,1
"242",0,2,3,1,1,1,2
"243",0,2,3,1,1,2,1
"244",0,2,3,1,1,2,2
"245",1,2,3,1,1,3,1
"246",1,2,3,1,1,3,2
"247",0,2,3,1,1,4,1
"248",0,2,3,1,1,4,2
"249",0,2,3,1,2,1,1
"250",0,2,3,1,2,1,2
"251",0,2,3,1,2,2,1
"252",0,2,3,1,2,2,2
"253",0,2,3,1,2,3,1
"254",0,2,3,1,2,3,2
"255",0,2,3,1,2,4,1
"256",0,2,3,1,2,4,2
"257",0,2,3,1,3,1,1
"258",0,2,3,1,3,1,2
"259",0,2,3,1,3,2,1
"260",0,2,3,1,3,2,2
"261",0,2,3,1,3,3,1
"262",0,2,3,1,3,3,2
"263",0,2,3,1,3,4,1
"264",0,2,3,1,3,4,2
"265",0,2,3,2,1,1,1
"266",0,2,3,2,1,1,2
"267",0,2,3,2,1,2,1
"268",0,2,3,2,1,2,2
"269",1,2,3,2,1,3,1
"270",1,2,3,2,1,3,2
"271",0,2,3,2,1,4,1
"272",0,2,3,2,1,4,2
"273",0,2,3,2,2,1,1
"274",0,2,3,2,2,1,2
"275",0,2,3,2,2,2,1
"276",0,2,3,2,2,2,2
"277",0,2,3,2,2,3,1
"278",0,2,3,2,2,3,2
"279",0,2,3,2,2,4,1
"280",0,2,3,2,2,4,2
"281",0,2,3,2,3,1,1
"282",0,2,3,2,3,1,2
"283",0,2,3,2,3,2,1
"284",0,2,3,2,3,2,2
"285",0,2,3,2,3,3,1
"286",0,2,3,2,3,3,2
"287",0,2,3,2,3,4,1
"288",0,2,3,2,3,4,2
"289",1,3,1,1,1,1,1
"290",1,3,1,1,1,1,2
"291",1,3,1,1,1,2,1
"292",1,3,1,1,1,2,2
"293",1,3,1,1,1,3,1
"294",1,3,1,1,1,3,2
"295",0,3,1,1,1,4,1
"296",0,3,1,1,1,4,2
"297",1,3,1,1,2,1,1
"298",1,3,1,1,2,1,2
"299",1,3,1,1,2,2,1
"300",1,3,1,1,2,2,2
"301",1,3,1,1,2,3,1
"302",1,3,1,1,2,3,2
"303",0,3,1,1,2,4,1
"304",0,3,1,1,2,4,2
"305",1,3,1,1,3,1,1
"306",1,3,1,1,3,1,2
"307",1,3,1,1,3,2,1
"308",1,3,1,1,3,2,2
"309",1,3,1,1,3,3,1
"310",1,3,1,1,3,3,2
"311",0,3,1,1,3,4,1
"312",0,3,1,1,3,4,2
"313",1,3,1,2,1,1,1
"314",1,3,1,2,1,1,2
"315",1,3,1,2,1,2,1
"316",1,3,1,2,1,2,2
"317",1,3,1,2,1,3,1
"318",1,3,1,2,1,3,2
"319",0,3,1,2,1,4,1
"320",0,3,1,2,1,4,2
"321",1,3,1,2,2,1,1
"322",1,3,1,2,2,1,2
"323",1,3,1,2,2,2,1
"324",1,3,1,2,2,2,2
"325",1,3,1,2,2,3,1
"326",1,3,1,2,2,3,2
"327",0,3,1,2,2,4,1
"328",0,3,1,2,2,4,2
"329",1,3,1,2,3,1,1
"330",1,3,1,2,3,1,2
"331",1,3,1,2,3,2,1
"332",1,3,1,2,3,2,2
"333",1,3,1,2,3,3,1
"334",1,3,1,2,3,3,2
"335",0,3,1,2,3,4,1
"336",0,3,1,2,3,4,2
"337",1,3,2,1,1,1,1
"338",1,3,2,1,1,1,2
"339",1,3,2,1,1,2,1
"340",1,3,2,1,1,2,2
"341",1,3,2,1,1,3,1
"342",1,3,2,1,1,3,2
"343",0,3,2,1,1,4,1
"344",0,3,2,1,1,4,2
"345",1,3,2,1,2,1,1
"346",1,3,2,1,2,1,2
"347",1,3,2,1,2,2,1
"348",1,3,2,1,2,2,2
"349",1,3,2,1,2,3,1
"350",1,3,2,1,2,3,2
"351",0,3,2,1,2,4,1
"352",0,3,2,1,2,4,2
"353",1,3,2,1,3,1,1
"354",1,3,2,1,3,1,2
"355",1,3,2,1,3,2,1
"356",1,3,2,1,3,2,2
"357",1,3,2,1,3,3,1
"358",1,3,2,1,3,3,2
"359",0,3,2,1,3,4,1
"360",0,3,2,1,3,4,2
"361",1,3,2,2,1,1,1
"362",1,3,2,2,1,1,2
"363",1,3,2,2,1,2,1
"364",1,3,2,2,1,2,2
"365",1,3,2,2,1,3,1
"366",1,3,2,2,1,3,2
"367",0,3,2,2,1,4,1
"368",0,3,2,2,1,4,2
"369",1,3,2,2,2,1,1
"370",1,3,2,2,2,1,2
"371",1,3,2,2,2,2,1
"372",1,3,2,2,2,2,2
"373",1,3,2,2,2,3,1
"374",1,3,2,2,2,3,2
"375",0,3,2,2,2,4,1
"376",0,3,2,2,2,4,2
"377",1,3,2,2,3,1,1
"378",1,3,2,2,3,1,2
"379",1,3,2,2,3,2,1
"380",1,3,2,2,3,2,2
"381",1,3,2,2,3,3,1
"382",1,3,2,2,3,3,2
"383",0,3,2,2,3,4,1
"384",0,3,2,2,3,4,2
"385",0,3,3,1,1,1,1
"386",0,3,3,1,1,1,2
"387",0,3,3,1,1,2,1
"388",0,3,3,1,1,2,2
"389",1,3,3,1,1,3,1
"390",1,3,3,1,1,3,2
"391",0,3,3,1,1,4,1
"392",0,3,3,1,1,4,2
"393",0,3,3,1,2,1,1
"394",0,3,3,1,2,1,2
"395",0,3,3,1,2,2,1
"396",0,3,3,1,2,2,2
"397",0,3,3,1,2,3,1
"398",0,3,3,1,2,3,2
"399",0,3,3,1,2,4,1
"400",0,3,3,1,2,4,2
"401",0,3,3,1,3,1,1
"402",0,3,3,1,3,1,2
"403",0,3,3,1,3,2,1
"404",0,3,3,1,3,2,2
"405",0,3,3,1,3,3,1
"406",0,3,3,1,3,3,2
"407",0,3,3,1,3,4,1
"408",0,3,3,1,3,4,2
"409",0,3,3,2,1,1,1
"410",0,3,3,2,1,1,2
"411",0,3,3,2,1,2,1
"412",0,3,3,2,1,2,2
"413",1,3,3,2,1,3,1
"414",1,3,3,2,1,3,2
"415",0,3,3,2,1,4,1
"416",0,3,3,2,1,4,2
"417",0,3,3,2,2,1,1
"418",0,3,3,2,2,1,2
"419",0,3,3,2,2,2,1
"420",0,3,3,2,2,2,2
"421",0,3,3,2,2,3,1
"422",0,3,3,2,2,3,2
"423",0,3,3,2,2,4,1
"424",0,3,3,2,2,4,2
"425",0,3,3,2,3,1,1
"426",0,3,3,2,3,1,2
"427",0,3,3,2,3,2,1
"428",0,3,3,2,3,2,2
"429",0,3,3,2,3,3,1
"430",0,3,3,2,3,3,2
"431",0,3,3,2,3,4,1
"432",0,3,3,2,3,4,2
